phase,mode,variant,date,variant_minus_reference_yuan,emergency_cost_difference,plan_cost_difference,adjustment_difference
validation,q2,terminal_0,2025-01-31,2292.350000000002,0.0,2292.3499999999985,0.0
validation,q2,terminal_0,2025-01-08,-2217.0833333333285,0.0,-2217.0833333333285,0.0
validation,q2,terminal_0,2025-01-15,75.26666666667734,0.0,75.26666666667734,0.0
validation,q2,terminal_0,2025-01-16,75.26666666667734,0.0,75.26666666666279,0.0
validation,q2,terminal_0,2025-01-09,75.26666666667734,0.0,75.26666666667734,0.0
validation,q2,terminal_05,2025-01-31,2292.350000000002,0.0,2292.3499999999985,0.0
validation,q2,terminal_05,2025-01-08,-2217.0833333333285,0.0,-2217.0833333333285,0.0
validation,q2,terminal_05,2025-01-15,75.26666666667734,0.0,75.26666666667734,0.0
validation,q2,terminal_05,2025-01-16,75.26666666667734,0.0,75.26666666666279,0.0
validation,q2,terminal_05,2025-01-09,75.26666666667734,0.0,75.26666666667734,0.0
validation,q2,terminal_15,2025-01-08,0.0,0.0,0.0,0.0
validation,q2,terminal_15,2025-01-29,0.0,0.0,0.0,0.0
validation,q2,terminal_15,2025-01-28,0.0,0.0,0.0,0.0
validation,q2,terminal_15,2025-01-27,0.0,0.0,0.0,0.0
validation,q2,terminal_15,2025-01-26,0.0,0.0,0.0,0.0
validation,q3,horizon_12,2025-01-16,626.045999139038,609.7107954194471,0.0,16.335203719584218
validation,q3,horizon_12,2025-01-25,329.45531515084804,-110.61269488749906,0.0,440.06801003834505
validation,q3,horizon_12,2025-01-19,327.0933499608509,-42.22551424999983,0.0,369.3188642108505
validation,q3,horizon_12,2025-01-14,-323.31662715924904,-201.44685032500053,0.0,-121.86977683424492
validation,q3,horizon_12,2025-01-09,309.6446451660886,-21.388460656680337,0.0,331.0331058227629
validation,q3,horizon_18,2025-01-26,-68.60620943624235,0.0,0.0,-68.60620943624929
validation,q3,horizon_18,2025-01-12,-56.77500597576727,0.0,0.0,-56.77500597576409
validation,q3,horizon_18,2025-01-28,9.116476141120074,-7.113079605554958,0.0,16.229555746666847
validation,q3,horizon_18,2025-01-29,-1.8724324806971708,0.0,0.0,-1.8724324806943855
validation,q3,horizon_18,2025-01-22,-1.0072202474984806,0.0,0.0,-1.007220247499962
validation,q3,horizon_24,2025-01-08,0.0,0.0,0.0,0.0
validation,q3,horizon_24,2025-01-29,0.0,0.0,0.0,0.0
validation,q3,horizon_24,2025-01-28,0.0,0.0,0.0,0.0
validation,q3,horizon_24,2025-01-27,0.0,0.0,0.0,0.0
validation,q3,horizon_24,2025-01-26,0.0,0.0,0.0,0.0
validation,q4_2,count10_span10,2025-01-17,-9383.634485503786,69.07422167083368,-9452.708707174621,0.0
validation,q4_2,count10_span10,2025-01-18,-8884.565869066435,1669.2695563249972,-10553.835425391426,0.0
validation,q4_2,count10_span10,2025-01-19,-8286.261418666123,1693.319162095834,-9979.580580761962,0.0
validation,q4_2,count10_span10,2025-01-24,-4908.381361263626,709.3408782138852,-5617.722239477513,0.0
validation,q4_2,count10_span10,2025-01-25,-4410.077318555752,511.2512522749995,-4921.328570830752,0.0
validation,q4_2,count10_span20,2025-01-23,14057.165536194603,-70.7933801416664,14127.958916336269,0.0
validation,q4_2,count10_span20,2025-01-19,7177.552422072127,-11.652428333333413,7189.204850405455,0.0
validation,q4_2,count10_span20,2025-01-25,7135.737024316768,-37.514879999999714,7173.25190431677,0.0
validation,q4_2,count10_span20,2025-01-24,-3608.3721731306105,258.5083663208309,-3866.880539451442,0.0
validation,q4_2,count10_span20,2025-01-15,3483.698108419354,0.0,3483.698108419354,0.0
validation,q4_2,count40_span40,2025-01-29,2182.293736479638,-273.99815503680776,2456.2918915164482,0.0
validation,q4_2,count40_span40,2025-01-24,-1756.7795553941796,24.9608848666671,-1781.7404402608445,0.0
validation,q4_2,count40_span40,2025-01-28,1740.4211317028676,-938.5667696527737,2678.9879013556347,0.0
validation,q4_2,count40_span40,2025-01-31,1660.5395702093992,-497.8971434013878,2158.4367136107976,0.0
validation,q4_2,count40_span40,2025-01-30,1600.2051198054542,-493.50168294235823,2093.7068027477944,0.0
validation,q4_2,raw_history,2025-01-31,31132.382918074527,-840.050637324306,31972.433555398842,0.0
validation,q4_2,raw_history,2025-01-25,27056.09353954038,-37.514879999999714,27093.608419540382,0.0
validation,q4_2,raw_history,2025-01-24,26048.56786391311,-79.63609013472247,26128.203954047833,0.0
validation,q4_2,raw_history,2025-01-18,21624.60687413383,65.44195166666654,21559.164922467164,0.0
validation,q4_2,raw_history,2025-01-17,21186.14921557683,0.0,21186.14921557683,0.0
validation,q4_2,reference,2025-01-08,0.0,0.0,0.0,0.0
validation,q4_2,reference,2025-01-29,0.0,0.0,0.0,0.0
validation,q4_2,reference,2025-01-28,0.0,0.0,0.0,0.0
validation,q4_2,reference,2025-01-27,0.0,0.0,0.0,0.0
validation,q4_2,reference,2025-01-26,0.0,0.0,0.0,0.0
validation,q4_2,shuffle_20260913,2025-01-19,-5201.784753574975,0.0,-5201.78475357499,0.0
validation,q4_2,shuffle_20260913,2025-01-15,-4290.065477096985,49.43767060000034,-4339.503147696989,0.0
validation,q4_2,shuffle_20260913,2025-01-13,-3152.295158903842,37.69686445416639,-3189.992023358005,0.0
validation,q4_2,shuffle_20260913,2025-01-24,-2954.16569012744,71.01577093055424,-3025.1814610580004,0.0
validation,q4_2,shuffle_20260913,2025-01-18,-2902.6653378830124,312.33692989999827,-3215.0022677830057,0.0
validation,q4_2,shuffle_20260914,2025-01-16,-7699.325299245276,76.60171742152593,-7775.927016666799,0.0
validation,q4_2,shuffle_20260914,2025-01-19,-5639.323904256948,31.081786458330654,-5670.405690715284,0.0
validation,q4_2,shuffle_20260914,2025-01-17,-4021.8215591120934,0.0,-4021.8215591120934,0.0
