mode,date,issue,parameter,ratio,parameter_value,base_objective,objective,objective_change_pct,grid_l1_kwh,soc_max_change_kwh,balance_residual,soc_residual
q3,2025-06-21,6,terminal_multiplier,1.1,1.1,27747.206568978854,27747.206568978854,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,6,terminal_multiplier,1.2,1.2,27747.206568978854,27747.206568978854,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,6,power_kw,0.8,4000.0,27747.206568978854,28087.965882620898,1.2280851147841598,2499.8507796124836,892.8012150000004,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,6,power_kw,0.9,4500.0,27747.206568978854,27854.652226606246,0.3872305392626911,1127.5337172496565,450.0,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-06-21,6,power_kw,1.0,5000.0,27747.206568978854,27747.206568978854,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,6,power_kw,1.1,5500.0,27747.206568978854,27742.62632210595,-0.016507055805854563,195.89483749999908,75.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,6,power_kw,1.2,6000.0,27747.206568978854,27738.192988772615,-0.0324846401522757,362.5615041666656,150.0,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-06-21,12,terminal_multiplier,0.8,0.8,33805.49822165821,33805.49822165821,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,12,terminal_multiplier,0.9,0.9,33805.49822165821,33805.49822165821,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,12,terminal_multiplier,1.0,1.0,33805.49822165821,33805.49822165821,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,12,terminal_multiplier,1.1,1.1,33805.49822165821,33805.49822165821,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
